Orciny Device Sequence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sequence 1: ""Boot up""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Output/Time (seconds),0,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,19.5,20,20.5,21,21.5,22,22.5,23,23.5,24,Hold until button press
Sparks,Between 2-3 sparks randomly flash,,,,,,,,,Between 2-3 sparks randomly flash,,,,,,,,,Between 2-3 sparks randomly flash,,,,,,,,,,,,,,,,,,,Between 2-3 sparks randomly flash,,,,,,Between 1-4 sparks randomly flash,,,,,,
Core,,"5-7 pixel long chase from higher to lower address, starting slow and ramping up in speed and length of chase. Color is cyan",,,,,,,,,,,,,,,,,,,,,Start interspersing orange chases inbetween cyan chases,,,,,,,,,,,,,,,,,Core starts pulsing between cyan and orange,,,,,,,,,,
Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fade up into a mixed yellow to a maximum of about 30%,,,,,,,,,,
Pincer,,,,,,,,Pincers become rigid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Servo 0  stays rigid, servo 1 starts slowly oscillating between min/max",,,,,,,Both servos go limp,
Pump and filament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Filament starts glowing, approx half power",,,,,,,,"Pump starts moving the liquid forward and back, filament pulses between half and full",,,,,,,,,
